NAME,DIVINE VALUE,CHAOS VALUE,EXPLICIT MODIFIERS
Hand of Thought and Motion,0.02,3,"(8-12)% increased Dexterity (), (8-12)% increased Intelligence (), Recover 1% of Life on Kill (), Adds 1 to 10 Lightning Damage to Attacks with this Weapon per 10 Dexterity (), 5% increased Critical Strike Chance per 25 Intelligence ()"
Uul-Netol's Kiss,0.02,3,"(230-270)% increased Physical Damage (), 15% reduced Attack Speed (), Curse Enemies with Vulnerability on Hit (), Exerted Attacks deal 200% increased Damage (), Exerted Attacks Knock Enemies Back on Hit ()"
Agnerod North,0.01,2,"40% increased Strength Requirement (), +(80-120) to Intelligence (), (30-50)% increased Lightning Damage (), +2 to Level of all Lightning Spell Skill Gems (), 15% chance to Shock (), Damage Penetrates 20% Lightning Resistance ()"
Agnerod South,0.01,2,"40% increased Strength Requirement (), +(80-120) to Intelligence (), (30-50)% increased Lightning Damage (), +2 to Level of all Lightning Spell Skill Gems (), +5% to maximum Lightning Resistance (), Damage Penetrates 20% Lightning Resistance ()"
Agnerod West,0.01,2,"40% increased Strength Requirement (), +(80-120) to Intelligence (), (30-50)% increased Lightning Damage (), Adds (5-15) to (100-140) Lightning Damage to Spells (), +2 to Level of all Lightning Spell Skill Gems (), Damage Penetrates 20% Lightning Resistance ()"
Hegemony's Era,0.01,2,"+6% Chance to Block Attack Damage while wielding a Staff (), Adds (135-145) to (160-175) Physical Damage (), (12-16)% increased Attack Speed (), (10-20)% increased Critical Strike Chance (), +1 to Maximum Power Charges (), 10% chance to gain a Power Charge if you Knock an Enemy Back with Melee Damage ()"
Lifesprig,0.01,2,"+1 to Level of Socketed Spell Gems (), (20-28)% increased Spell Damage (), (5-8)% increased Cast Speed (), +(15-20) to maximum Life (), +(15-20) to maximum Mana (), Regenerate (6-8) Life over 1 second when you Cast a Spell ()"
White Wind,0.01,2,"Adds (160-190) to (280-320) Cold Damage (), (10-15)% increased Attack Speed (), +(1000-1500) to Evasion Rating (), (100-200)% increased Cold Damage while your Off Hand is empty (), +(30-40)% chance to Suppress Spell Damage while your Off Hand is empty ()"
Vulconus,0.01,2,"Adds (85-110) to (135-150) Physical Damage (), Adds (130-160) to (220-240) Fire Damage (), 50% chance to cause Bleeding on Hit (), (70-100)% increased Fire Damage with Hits and Ailments against Bleeding Enemies (), (70-100)% increased Physical Damage with Hits and Ailments against Ignited Enemies (), Every 8 seconds, gain Avatar of Fire for 4 seconds (), (160-200)% increased Critical Strike Chance while you have Avatar of Fire (), 50% of Physical Damage Converted to Fire while you have Avatar of Fire (), +2000 Armour while you do not have Avatar of Fire ()"
Hopeshredder,0.01,2,"Adds (130-150) to (270-300) Cold Damage (), (15-25)% increased Attack Speed (), 4% increased Movement Speed per Frenzy Charge (), +(400-500) to Accuracy Rating (), 2% chance to Avoid Elemental Damage from Hits per Frenzy Charge (), 12 to 14 Added Cold Damage per Frenzy Charge (), 0.5% of Attack Damage Leeched as Life per Frenzy Charge (), 200 Cold Damage taken per second per Frenzy Charge while moving ()"
Beltimber Blade,0.01,2,"(185-215)% increased Physical Damage (), (15-20)% increased Attack Speed (), 80% increased Evasion Rating while moving (), Skills fire 2 additional Projectiles if you've used a Movement Skill Recently (), Far Shot ()"
Cerberus Limb,0.01,2,"(70-100)% increased Spell Damage (), (15-20)% increased Cast Speed (), 0.5% of Spell Damage Leeched as Life if Equipped Shield has at least 30% Chance to Block (), +1 to Maximum Energy Shield per 5 Armour on Equipped Shield (), +5 to Armour per 5 Evasion Rating on Equipped Shield (), +20 to Evasion Rating per 5 Maximum Energy Shield on Equipped Shield ()"
Cold Iron Point,0.01,2,"+3 to Level of all Physical Spell Skill Gems (), Deal no Elemental Damage ()"
Third Piece of Brutality,0.01,2,
First Piece of Brutality,0.01,2,
Second Piece of Brutality,0.01,2,
Second Piece of the Arcane,0.01,2,
Third Piece of the Arcane,0.01,2,
Witchhunter's Judgment,0.01,2,"Grants Level 20 Brandsurge Skill (), Brand Skills have (50-100)% increased Duration ()"
Replica Bloodplay,0.01,2,"+20 to Strength (), (20-40)% increased Physical Damage (), Adds (3-6) to (9-13) Physical Damage (), 30% chance to cause Bleeding on Hit (), (100-150)% increased Critical Strike Chance against Bleeding Enemies (), Extra gore ()"
Replica Advancing Fortress,0.01,2,"Socketed Gems are Supported by Level 12 Cast when Damage Taken (), 15% Chance to Block Attack Damage (), (100-120)% increased Physical Damage (), +(30-50) to maximum Life (), 50% increased Defences from Equipped Shield (), Adds 45 to 75 Fire Damage if you've Blocked Recently ()"
Replica Twyzel,0.01,2,"(5-10)% increased Attack Speed (), (20-40)% increased Critical Strike Chance (), Attacks fire an additional Projectile ()"
Replica Heartbreaker,0.01,2,"(60-70)% increased Spell Damage (), (40-80)% faster start of Energy Shield Recharge (), +(30-50) to maximum Life (), 20% increased Impale Effect (), 20% chance to Impale on Spell Hit ()"
Replica Infractem,0.01,2,"+(20-30) to Dexterity (), (70-80)% increased Physical Damage (), Adds (25-35) to (36-45) Physical Damage (), 10% increased Movement Speed (), +(350-400) to Accuracy Rating (), Cannot Leech Mana (), Projectiles from Attacks Fork (), Projectiles from Attacks can Fork 1 additional time ()"
Xoph's Inception,0.01,2,"(160-190)% increased Physical Damage (), Gain (200-300) Life per Ignited Enemy Killed (), Gain 20% of Physical Damage as Extra Fire Damage (), 10% chance to Ignite (), Projectiles Pierce all Burning Enemies (), Arrows deal 30 to 50 Added Fire Damage for each time they've Pierced ()"
Tulborn,0.01,2,"Adds (120-140) to (150-170) Cold Damage to Spells (), Gain a Power Charge on Killing a Frozen Enemy (), Cold Exposure you inflict applies an extra -12% to Cold Resistance (), +(20-25) Mana gained on Killing a Frozen Enemy ()"
Allure,0.01,1.3,"(110-130)% increased Physical Damage (), Adds (15-20) to (30-40) Physical Damage (), (8-12)% increased Attack Speed (), 15% increased Movement Speed while Phasing (), You gain Phasing for 10 seconds on using a Vaal Skill ()"
Abberath's Horn,0.01,1,"(20-30)% increased Fire Damage (), Adds (4-6) to (8-12) Fire Damage to Spells (), (40-60)% increased Global Critical Strike Chance (), Gain 10 Life per Ignited Enemy Killed (), 25% reduced Ignite Duration on Enemies ()"
Advancing Fortress,0.01,1,"Socketed Gems are Supported by Level 12 Fortify (), 15% Chance to Block Attack Damage (), (100-120)% increased Physical Damage (), +110 to Evasion Rating (), +35 to maximum Energy Shield (), +(30-50) to maximum Life (), Reflects (71-90) Physical Damage to Melee Attackers ()"
Al Dhih,0.01,1,"(100-120)% increased Physical Damage (), 3% of Physical Attack Damage Leeched as Life (), Enemies Taunted by your Warcries Explode on death, dealing 8% of their maximum Life as Chaos Damage (), 25% increased Warcry Buff Effect (), Warcry Skills' Cooldown Time is 4 seconds ()"
Aurumvorax,0.01,1,"(120-150)% increased Physical Damage (), 20% reduced Rarity of Items found (), +(40-60)% to all Elemental Resistances (), Grants 3 Life per Enemy Hit ()"
Axiom Perpetuum,0.01,1,"Adds (2-3) to (5-6) Fire Damage to Spells (), Adds (2-3) to (5-6) Cold Damage to Spells (), Adds 1 to (10-12) Lightning Damage to Spells (), (4-6)% increased Cast Speed (), (100-140)% increased Spell Critical Strike Chance ()"
Bloodplay,0.01,1,"+20 to Dexterity (), (20-40)% increased Physical Damage (), Adds (3-6) to (9-13) Physical Damage (), 10% increased Attack Speed (), 30% chance to cause Bleeding on Hit (), Extra gore ()"
Brain Rattler,0.01,1,"Adds (60-80) to (270-320) Physical Damage (), 50% of Physical Damage Converted to Lightning Damage (), 50% chance to Shock (), Damage Penetrates 20% Lightning Resistance (), Enemies you Shock have 30% reduced Cast Speed (), Enemies you Shock have 20% reduced Movement Speed (), Hits with this Weapon Shock Enemies as though dealing 300% more Damage ()"
Breath of the Council,0.01,1,"(260-310)% increased Physical Damage (), (80-100)% increased Chaos Damage (), 10% increased Area of Effect (), Chaos Skills have 40% increased Skill Effect Duration ()"
Brightbeak,0.01,1,"(50-75)% increased Physical Damage (), 45% increased Attack Speed (), 25% increased Critical Strike Chance (), +(20-30)% to Fire Resistance (), +(20-30)% to Lightning Resistance ()"
Brutus' Lead Sprinkler,0.01,1,"20% increased Physical Damage (), Adds (8-13) to (26-31) Physical Damage (), 30% increased Fire Damage (), (15-20)% increased Attack Speed (), (30-40)% increased Critical Strike Chance (), Adds 4 to 7 Fire Damage to Attacks with this Weapon per 10 Strength ()"
Callinellus Malleus,0.01,1,"(150-200)% increased Physical Damage (), Adds (5-10) to (15-23) Physical Damage (), (15-25)% reduced Enemy Stun Threshold with this Weapon (), Cannot Knock Enemies Back (), All Attack Damage Chills when you Stun ()"
Cameria's Maul,0.01,1,"(140-180)% increased Physical Damage (), Adds (10-20) to (30-50) Cold Damage (), (15-40)% increased Critical Strike Chance (), 40% increased Rarity of Items Dropped by Frozen Enemies (), (30-40)% increased Cold Damage with Attack Skills ()"
Chin Sol,0.01,1,"+(10-20) to Dexterity (), (100-140)% increased Physical Damage (), Adds 25 to 50 Fire Damage (), (10-14)% increased Attack Speed (), 50% more Damage with Arrow Hits at Close Range (), Bow Knockback at Close Range ()"
Chober Chaber,0.01,1,"+1 to Level of Socketed Melee Gems (), +1 to Level of Socketed Minion Gems (), 20% reduced Strength Requirement (), (200-220)% increased Physical Damage (), 25% increased maximum Mana (), Minions have (20-40)% increased maximum Life (), 15% increased Skill Effect Duration ()"
Clayshaper,0.01,1,"Grants Level 12 Summon Stone Golem Skill (), Adds (24-30) to (34-40) Physical Damage (), (8-10)% increased Attack Speed (), +1 to maximum number of Summoned Golems (), Golems have (96-120) to (132-160) Added Attack Physical Damage ()"
Cybil's Paw,0.01,1,"(15-20)% increased Cast Speed (), +(30-40) to maximum Mana (), Gain (15-20) Life per Enemy Hit with Spells (), 8% increased Spell Damage per 5% Chance to Block Attack Damage ()"
Daresso's Passion,0.01,1,"Adds (30-38) to (40-50) Physical Damage (), Adds (30-38) to (40-50) Cold Damage (), 20% reduced Frenzy Charge Duration (), 25% chance to gain a Frenzy Charge on Kill (), (60-80)% increased Damage while you have no Frenzy Charges ()"
Death's Hand,0.01,1,"Adds (35-46) to (85-128) Physical Damage (), (25-50)% increased Critical Strike Chance (), 30% chance to gain a Power Charge when you Stun (), Gain Unholy Might for 4 seconds on Critical Strike ()"
Death's Harp,0.01,1,"(90-105)% increased Physical Damage (), 10% increased Attack Speed (), +50% to Global Critical Strike Multiplier (), Bow Attacks fire 2 additional Arrows ()"
Doomsower,0.01,1,"Socketed Melee Gems have 15% increased Area of Effect (), (30-50)% increased Physical Damage (), Adds (65-75) to (100-110) Physical Damage (), (6-12)% increased Attack Speed (), Attack Skills gain 5% of Physical Damage as Extra Fire Damage per Socketed Red Gem (), You have Vaal Pact while all Socketed Gems are Red ()"
Doon Cuebiyari,0.01,1,"Socketed Gems are Supported by Level 30 Iron Will (), +(50-70) to Strength (), (15-18)% increased Cast Speed (), +(20-30) to maximum Mana (), 1% increased Damage per 8 Strength when in Main Hand (), 1% increased Armour per 16 Strength when in Off Hand ()"
Dreadarc,0.01,1,"Adds (5-15) to (20-25) Physical Damage (), Adds (5-15) to (20-25) Fire Damage (), (7-10)% increased Attack Speed (), +(15-25)% to Fire Resistance (), 5% increased Movement Speed (), Curse Enemies with Flammability on Hit ()"
Dreamfeather,0.01,1,"Adds (30-50) to (65-80) Physical Damage (), (20-25)% increased Attack Speed (), +(180-200) to Evasion Rating (), 3% increased Movement Speed (), +(280-300) to Accuracy Rating (), 1% increased Attack Damage per 450 Evasion Rating ()"
Dyadus,0.01,1,"Adds (255-285) to (300-330) Fire Damage in Main Hand (), Adds (255-285) to (300-330) Cold Damage in Off Hand (), (10-15)% increased Attack Speed (), 25% chance to Ignite when in Main Hand (), 100% increased Damage with Ignite inflicted on Chilled Enemies (), Chill Enemies for 1 second on Hit with this Weapon when in Off Hand ()"
Edge of Madness,0.01,1,"+1 to Level of Socketed Skill Gems (), (40-60)% increased Physical Damage (), Adds (60-68) to (90-102) Chaos Damage (), 1% increased Chaos Damage per Level (), Adds 1 to 2 Physical Damage to Attacks per Level ()"
Femurs of the Saints,0.01,1,"+2 to Level of Socketed Minion Gems (), Minions deal (60-80)% increased Damage (), +1% Chance to Block Attack Damage per Summoned Skeleton (), 2% increased Attack and Cast Speed per Summoned Raging Spirit (), Regenerate 0.6% of Life per second for each Raised Zombie (), 30% increased Mana Regeneration Rate per Raised Spectre ()"
Fencoil,0.01,1,"Socketed Gems are Supported by Level 8 Trap (), (40-50)% increased Global Damage (), (10-20)% increased maximum Life (), (10-20)% increased maximum Mana ()"
Fidelitas' Spike,0.01,1,"No Physical Damage (), Adds 1 to (40-50) Lightning Damage (), (25-30)% increased Attack Speed (), Grants 2 Life per Enemy Hit (), (15-20)% chance to Shock (), Herald of Thunder has 50% increased Buff Effect ()"
Flesh-Eater,0.01,1,"(60-80)% increased Physical Damage (), Adds 10 to 15 Physical Damage (), 10% increased Attack Speed (), 1% of Physical Attack Damage Leeched as Life (), 3% of Attack Damage Leeched as Life against Bleeding Enemies (), 30% chance to cause Bleeding on Hit ()"
Frostbreath,0.01,1,"Adds (26-32) to (36-42) Physical Damage (), Adds (26-32) to (36-42) Cold Damage (), (8-14)% increased Attack Speed (), +(40-50)% to Fire Resistance (), (35-50)% increased Chill Duration on Enemies (), Attacks with this Weapon deal Double Damage to Chilled Enemies ()"
Geofri's Baptism,0.01,1,"200% increased Physical Damage (), Adds 11 to 23 Cold Damage (), (10-20)% increased Stun Duration on Enemies (), Never deal Critical Strikes ()"
Gorebreaker,0.01,1,"(300-360)% increased Physical Damage (), 20% reduced Attack Speed (), (10-20)% reduced Enemy Stun Threshold (), (30-50)% increased Stun Duration on Enemies (), Extra gore ()"
Goredrill,0.01,1,"+(10-15) to Dexterity (), (50-70)% increased Physical Damage (), Adds (1-2) to (3-5) Physical Damage (), 30% increased Critical Strike Chance (), 40% increased Attack Damage against Bleeding Enemies (), 50% chance to cause Bleeding on Critical Strike ()"
Heartbreaker,0.01,1,"(60-70)% increased Spell Damage (), (40-80)% faster start of Energy Shield Recharge (), +(60-100) to maximum Mana (), Your Spells have Culling Strike ()"
Hezmana's Bloodlust,0.01,1,"(100-125)% increased Physical Damage (), Adds (7-10) to (15-25) Physical Damage (), 1% of Physical Attack Damage Leeched as Life (), 40% increased Attack Speed if you've taken a Savage Hit Recently (), Attacks Cost Life instead of Mana ()"
Hiltless,0.01,1,"Socketed Gems are Supported by Level 1 Lifetap (), Adds (90-115) to (230-260) Physical Damage (), (40-50)% increased Critical Strike Chance (), Enemies you Attack Reflect 100 Physical Damage to you (), +0.2 metres to Weapon Range ()"
